EqualWeight(1/N),BuyAndHold,Random-topk,Momentum-topk
1.0,1.0,1.0,1.0
1.0002973584050778,1.000297358632088,0.9986118320375681,1.0002973584050778
0.9947462867039991,0.9947906473200374,0.9970710568784069,1.008846565138703
0.9820304270744985,0.9821862481801994,0.9807458628529865,0.9974820050259314
0.9600949424939262,0.9604682916336644,0.9577643813243322,0.9768873279799558
0.9623109787584151,0.9627547655170743,0.9669359083259292,0.9805068206655237
0.956419700591981,0.9570510164981421,0.9638207178833625,0.9852999685311022
0.9641752906185538,0.9643031891215753,0.979760327211422,0.9915457561974766
0.9636138587452078,0.9639794049421649,0.9859690538613398,0.9861068958509879
0.9643189289321495,0.9648558735283669,0.9906521968952655,0.9919584835742901
0.9621902968986585,0.9630634053931171,0.9916616012094236,0.9988974973288289
0.9419246505082597,0.9430901740154422,0.9782249879972303,0.9845489853371828
0.9398620292563767,0.9409826935324949,0.9681723025054353,0.9705910158856381
0.9306326687822367,0.9316607775983666,0.9606592823310177,0.9554552995946448
0.8868847044815147,0.888453518696616,0.9099507838588705,0.9148301681215829
0.9017112598722258,0.9033340112656163,0.9151030216314208,0.9393092485212516
0.9159378886582216,0.9173810969034449,0.9329449554034674,0.9446175343611324
0.9475733779462182,0.9483353076605229,0.9685794022961822,0.9851682122182643
0.9448794528713335,0.9460850432068378,0.969925199725494,0.9888385553322229
0.9296959503119329,0.9316318115815737,0.9425322277052244,0.9827444449504962
0.9065232951696345,0.908656691365715,0.914169116880304,0.9545335859512639
0.8844707718330156,0.8879160841459947,0.8984010128468914,0.9375047673530427
0.8795430793143162,0.8827486164841442,0.9031693768518867,0.9292464884370573
0.8582591215145112,0.862616491900926,0.8845101129290076,0.9009352223480476
0.8366628699486999,0.8435770270891487,0.8684804368892373,0.9062299987643293
0.8986889262613083,0.903821240992369,0.9217000550548463,0.9585976307837464
0.9565891490009981,0.9599096521781472,0.9856410881165885,1.0379891705648363
0.9650140940141421,0.9658678554431377,0.9870783097195996,1.0852276841734017
0.9663098896434247,0.9668074982566619,0.9963365900984322,1.065002528661669
0.9697382522957483,0.9703495711560555,1.021011184701723,1.0855544498237768
0.9677916122252753,0.9678559598021113,1.0211132575954731,1.0626820078684753
0.9786636176677264,0.978597790932103,1.028204803135992,1.073540052250421
0.9830662288330312,0.9823228486180762,1.0370479938801183,1.0741977516358847
0.9813308194483179,0.9794603963537394,1.0428724035133692,1.0617842258951566
1.0011413411647663,0.9986637748946057,1.0648443009769797,1.085285851366677
0.9760212936227852,0.9743868876279278,1.0290399356301034,1.0114814446531224
1.0065803380649057,1.0043938584469845,1.065083892364219,1.027552732174166
1.0138006095103202,1.0108421435459516,1.0807280013896285,1.067165759595437
1.0194733856999045,1.0169612086971336,1.1040438627024043,1.0968621034653194
1.016560988210367,1.0140952700104853,1.1025159201676455,1.0884812128145231
1.0162078166718387,1.0142022220080116,1.0972207317882468,1.088920479531971
1.0048665141581794,1.003402207695546,1.0866974306413206,1.0803659970852042
1.0177701681279803,1.0168936221595715,1.1017290131664312,1.0928959947099288
1.0331875741905183,1.031807541519897,1.1272331458870508,1.1183967324005037
1.029447640033681,1.026408252700631,1.1270380383218546,1.124619024658207
1.0316509460838534,1.028132046154557,1.128869883742715,1.1221684792111775
1.0282213934820523,1.0253209844679152,1.1104500311534442,1.1204479085395846
1.0370889074172518,1.0339899819501503,1.1269806683267172,1.13181337205147
1.0516701562287223,1.0479158580891246,1.131478897269822,1.1746892619211675
1.0429356622644566,1.0390976273669885,1.1224561192051177,1.1824608770854164
1.0478656612928248,1.04401563894002,1.1210138642249237,1.189567278243603
1.0464741116918617,1.0429686366605577,1.1174602365276862,1.1946300846640037
1.0331209292041075,1.0299462372530517,1.0946782693040373,1.1772960553908358
1.0163004281826105,1.013327797819579,1.0818204795786395,1.1294754221262087
1.0098958112350516,1.006809694182604,1.0599600314257374,1.1348162505724897
0.988911469615004,0.9870081238489321,1.0334237707005853,1.1131875735539014
1.00676847416393,1.0045570817973624,1.0563775968327325,1.1278365151122156
1.0181847595814093,1.0161772630867958,1.0720348405858922,1.134167929759322
1.0363801741282208,1.033665031628074,1.093838303291454,1.1498075311573945
1.0293521976604194,1.026574439455807,1.0841698247432978,1.1197603467066395
1.0298340596072106,1.0279401523789276,1.090367815117978,1.1262095370365914
1.016946440140215,1.0166847512389565,1.0799685779519343,1.1293542723323522
1.0208948425393347,1.0192198795831553,1.0956029085093864,1.1089726503301214
1.0075712072191925,1.0071662956899718,1.0933937184931093,1.0745714505155721
1.014848995679745,1.0150595558553723,1.107227575571369,1.0961008183366705
1.0113434669533696,1.0125793161558065,1.1005119569169983,1.0990392978993924
1.025753737151855,1.0272361915418124,1.1093229866529775,1.1018879987442267
1.0024640674407987,1.0048723314381776,1.0665411247855865,1.0862607630502235
1.0304259837468337,1.0317625146026639,1.0937409723710991,1.090398705766278
1.0354753633432354,1.0373230739553922,1.098005925915907,1.0930100211023333
1.0341643587367628,1.0364236901889914,1.0994197925124871,1.0959077814561682
1.021812262406635,1.0222278469923287,1.089180559738383,1.0860926515032778
1.0094156958102545,1.0078002361495328,1.0768652000224628,1.1124762727451842
1.0228860835022338,1.0214593747436016,1.1088829794661645,1.1240036971990717
1.0209381456188198,1.0193338374784222,1.1114633703239618,1.126687867776884
1.037013738050874,1.0347811638565254,1.1253329985319007,1.150002008952797
1.0498168375715131,1.0450744972109471,1.1435816170400641,1.1741157195787146
1.0428947746483286,1.0397710255318389,1.1289725959806154,1.1672535637228565
1.0624891465353166,1.0594630241738794,1.14074937600321,1.1933962334560224
1.063181715197686,1.0591400654464835,1.1348575303310848,1.1947719224783426
1.0514192643647406,1.0483318982063181,1.1167383970754758,1.1837933141903318
1.0671360187867367,1.063884871966558,1.1413964140882191,1.1932930459112532
1.0669658811788436,1.0646037191879365,1.1441280611941207,1.2109651286738092
1.0629093659976117,1.0619248433846205,1.1499372562265264,1.2164485079330507
1.0652477940601792,1.0633914878837178,1.1544552299843023,1.2097115302880892
1.0576776684229732,1.0566242849834055,1.1462037587411638,1.194568162110325
1.0545119552155955,1.0534595580031132,1.1387539465486374,1.219605024003397
1.0630081120023112,1.0613264810533514,1.1399605141945721,1.2585378797203346
1.0720642943072405,1.071090354131225,1.1466447765168715,1.2593512723524845
1.0644755479191126,1.063153387715446,1.1433476964962883,1.2343647341990005
1.0607688334260092,1.058671465238888,1.135713613077902,1.2251000312238847
1.0433735265483393,1.041626133548261,1.1244350527868394,1.2057078946844684
1.0357266646405814,1.0347404067311765,1.1213655183324682,1.1871768053353564
1.0482091975849699,1.0481523032771773,1.1466677816795086,1.2162605377920164
1.0353002831924147,1.036085937519706,1.1279040958404138,1.209401647195716
1.0387940088208054,1.0407561445496833,1.1304822326972308,1.2328437859425085
1.0338162741587804,1.0337772871423823,1.1300879071609502,1.195405508869857
1.036571250625945,1.03537233577391,1.1372464305019818,1.201553612775363
1.029797251536888,1.0295442278672302,1.1353219136870656,1.1909361308589703
1.0439712193362227,1.0455061968299793,1.149651748837122,1.2092645373451405
1.0326650080691873,1.0327500142613248,1.1493676876685919,1.1840370361803845
1.0240544436580732,1.0269516856904033,1.1544834698761344,1.161302871195448
1.027044845123425,1.0290055308895918,1.1549671653078797,1.1548857249395674
1.0261977414706347,1.0259114073649196,1.154773444511203,1.1573656650303152
1.0301860651104542,1.030102742931642,1.1621524917165946,1.156891507704416
1.0201047136782968,1.0201920068656658,1.1476803722639521,1.1459002414296326
1.0235782496420784,1.0240451495107192,1.1510791102060407,1.1560467848233058
1.0218101144981715,1.0217722992652363,1.1419020769962436,1.160658655278002
1.0251379795835311,1.0251861340293151,1.1441220259805582,1.157466234879306
1.0139668702469502,1.014330350675122,1.1315286431477884,1.1518170096068399
0.9954210270892095,0.9968364776765025,1.1138183414996932,1.1488904431557445
0.9991529016828364,1.0017414941527476,1.1181497303048666,1.1487969105904576
0.9796204364065456,0.9839324230723531,1.0843405155065498,1.1460229656645238
0.9769348799315061,0.9817212009949315,1.0786219100249361,1.1466775095914132
0.9911296976054716,0.9930378148385699,1.097472573425616,1.1427684364393385
0.9728225753275983,0.9750938280407884,1.0674544610472638,1.120135435889967
0.9815014681649075,0.9863939250695507,1.0773597056353543,1.1393570771221986
0.9962873795678178,1.0022257167687103,1.0873736374197527,1.148810968036877
0.9864311575731769,0.9913280244955893,1.0737269604333497,1.132446738132841
0.9766377411860947,0.9815597671655059,1.0690894436303409,1.1247157055841552
0.9613476607903423,0.9677131904518924,1.0581218047490095,1.106710470041068
0.9670351380294355,0.9729915631125242,1.0745438747608667,1.1033839977083435
0.9497828152060172,0.9583847218602205,1.047973094052883,1.081278915428751
0.9658092456217429,0.9760394999933599,1.0624977984399437,1.1139533214866624
0.9573837035654582,0.9657387296211869,1.0575732570600664,1.1264247772128837
0.9782756397237939,0.9854292898022216,1.0666360202206318,1.151034184648954
0.9736031938732845,0.9796920833743625,1.0665323239082747,1.14453132422614
0.9666197118979744,0.9744050977873415,1.0650460244326039,1.11652217875896
0.9694587692032682,0.9773780357460208,1.0818115724745645,1.1326386104965476
0.9607236187009466,0.9659788270953102,1.071131970227914,1.1195812812310018
0.9632712051361924,0.9688500276849573,1.074173635095813,1.132680708228439
0.961140940100747,0.9646328027371635,1.0668774750850347,1.1363206490462125
0.9609274070146484,0.9641763185835236,1.072716551145437,1.1349826859810652
0.9363005781727659,0.9392889137733423,1.047811886336274,1.098417460755169
0.9280506726431024,0.9323788733206023,1.0315291491452272,1.1050832462356348
0.9284283831217058,0.9316425840495364,1.0330995216915444,1.1130135620438357
0.9432583459434277,0.9457324428928143,1.0477124391546073,1.1137632413409915
0.9390058185577405,0.9420336194768826,1.0474646047320249,1.12749775765585
0.9362472317334546,0.9385185557636234,1.0441652329181863,1.1306540351209935
0.9669498246923517,0.9671554747191734,1.0754352105093,1.1455014157456296
0.959748571897607,0.9599998652654801,1.0641771785469873,1.1326589983708029
0.9506483378139264,0.9505860118812638,1.0642553125417866,1.114178639218931
0.9327717490803616,0.9310950280047834,1.045292482568419,1.0852298693358018
0.9458168795846279,0.9427118168598583,1.0570517430953037,1.1122082576305719
0.9464947358483486,0.9444286471098293,1.0601315870907917,1.1026586451788116
0.9461819941418472,0.943522240293774,1.0769325895799942,1.0946445155495024
0.939371806745965,0.9376950385348948,1.0702614787287639,1.0859336479150419
0.9407070023802198,0.9392488606340921,1.0865176169704729,1.0825103079293308
0.9443042342117989,0.9428408662150468,1.0954504555520939,1.0785133187616156
0.9329035947023363,0.9320991269082014,1.084100939256512,1.05328984656953
0.9387920583920464,0.937517926119377,1.0998617979782028,1.0641108133056605
0.9328569343966547,0.932089892759526,1.0889359688584468,1.0606849281669721
0.9371490012178223,0.9368343881144436,1.0949970026952471,1.064006972476323
0.9216935592319494,0.9216469264697722,1.07936183368994,1.0454467443941948
0.915638874875837,0.9161511529187785,1.0685550369760075,1.0403010737817138
0.9023515391137678,0.9042474016009938,1.0533437727497181,1.0257835067718617
0.9023172064673676,0.9038694495584481,1.0594323339777798,1.0169611072219777
0.8996599727760435,0.9010927670873532,1.0686433707859802,1.0190139252641583
0.8880963847992385,0.8892758350633394,1.066527720963564,1.0001131252947904
0.8870543995337956,0.8877311014548376,1.0667371374489498,0.9896011880110233
0.8979185528634515,0.8972672030039539,1.079986996780038,1.002128479635967
0.9158103361320239,0.9145310473471251,1.1019675282146548,1.0187189108405197
0.9006497612025033,0.9007843775920497,1.0896007321328784,0.9937449188442264
0.9116887866574147,0.9116524708461239,1.1032781135253666,0.9929222183477852
0.9078803472476129,0.907560418113189,1.113052366881631,1.002510138787862
0.9137379453793935,0.9122145033206119,1.1228986642848127,1.0139107307481403
0.902167858504169,0.9013157904834729,1.1024453488604822,1.0008568614227478
0.8964025868384462,0.8948752294874215,1.0932572380594372,1.0000452528404569
0.8980606858685836,0.8962857755628657,1.0996628960805583,0.9803859579080193
0.8946014219769312,0.8928371974676299,1.0933687080196237,0.9803556741372542
0.8922280150846649,0.8905005699109911,1.0957672157420226,0.9779782453628665
0.8828605749855823,0.882161454554316,1.0923550660678238,0.9723800585252206
0.8870533054092454,0.8866632771909597,1.0959383241844967,0.9720407421655101
0.9021087952406289,0.8989367735034309,1.0991735827377682,0.9803280819894362
0.8990970746388537,0.8968725928335542,1.0936833882101393,0.9888897524416731
0.9017454142308154,0.8992350509378235,1.107396152495357,1.0042438049661262
0.9339002738324513,0.9305314232823448,1.1385345913833025,1.0350956291631246
0.9398216276093485,0.9353511094128174,1.1410457003691434,1.0420065778867533
0.9744655923017982,0.9673409354069775,1.1833717609269947,1.0874526489783904
1.0173712283735006,1.007107789278119,1.2544413592725812,1.1604951355592548
1.1062232363998195,1.0927902876921605,1.3663824624538772,1.2752230802693285
1.162446018412183,1.1438388515158615,1.4412408940728143,1.419414126348968
1.085014500588893,1.069871522642405,1.3678594763358476,1.307850750304714
1.0898564051927893,1.0758447795738002,1.3796629253171058,1.2940520506390183
1.0524403039423864,1.0401261811842437,1.329094745405107,1.248868188688145
1.0769770060993935,1.0644317610441179,1.3660671390405912,1.2656547286381692
1.0520421912312206,1.0388542111000036,1.3390067071847247,1.2476607580142074
1.0539213617098724,1.041610845543272,1.333551502439843,1.2353080044267124
1.0424106202695658,1.030643432903625,1.3217632880994425,1.2253416683411174
1.0733429704161044,1.0623822814247028,1.3675112628527584,1.3024724165913035
1.0886656285258285,1.0776388797372198,1.3947488202691294,1.3454099685565213
1.1016977990210657,1.091703482110213,1.4271377544837383,1.3370483689435018
1.1052469307560906,1.0953085616950162,1.4305132783021228,1.3499905938814298
1.093519989849358,1.0843822332197206,1.4225686952855652,1.3333245172088302
1.1068306986194874,1.095452895419207,1.438866124066743,1.3459812563213722
1.124237103789428,1.1129914872455586,1.4857548821701454,1.3706425709709724
1.1096642885874892,1.1024458919587996,1.4557129124767785,1.3583303284909596
1.11787521473921,1.1144507653891427,1.5056218419982748,1.379138131579902
1.1294491493355963,1.129656940436447,1.5216417579444084,1.4357628263321363
1.1201004221629696,1.116754894750391,1.5092336516834868,1.3989995621084477
1.1357714510542845,1.1317671265290234,1.5210671653085481,1.421630287496078
1.1638924904816732,1.1590521167742898,1.5639090214720235,1.469151271468881
1.1679122144453793,1.1599514133333073,1.5755492481761535,1.4838648291595227
1.1835717637415835,1.1716767796345575,1.615111804541397,1.4972148525878002
1.1780807271554476,1.1675927784731228,1.598508774004883,1.4967721803033396
1.1966641482925466,1.1865219063167702,1.664390477538348,1.546829239987986
1.187745024578136,1.177071650997214,1.641195930306935,1.5305176527082784
